userid,extraversion,agreeableness,conscientiousness,neuroticism,openness,about_me,friends,friendlists,games,movies,music,television,books,checkins,likes,events,groups,notes,statuses_per_month,likes_per_status,comments_per_status,videos,tagged,subscriptions
1270537261,1,1,1,1,1,1,289,7,NA,3,1,NA,NA,14,75,30,16,NA,100,12,6,NA,41,NA
1.00002E+14,1,1,1,0,1,0,386,11,NA,2,3,6,2,1,25,NA,46,5,100,15,8,NA,49,NA
1.00001E+14,1,1,0,0,1,1,698,16,12,2,5,1,1,28,250,NA,33,NA,100,16,6,NA,6,14
1.00001E+14,1,1,0,0,1,1,740,4,1,2,1,NA,1,1,42,NA,64,NA,100,22,6,NA,4,NA
1419863006,0,1,1,1,1,0,300,23,1,17,92,31,6,11,478,53,35,20,100,9,2,NA,13,4
1.00002E+14,1,0,1,0,1,0,235,9,NA,3,NA,1,NA,54,31,NA,13,NA,87,17,6,NA,4,NA
1.00001E+14,1,1,0,1,1,0,488,16,NA,1,9,5,NA,15,50,NA,12,NA,100,15,7,NA,21,2
1400612652,1,1,1,0,1,1,382,11,NA,1,1,2,1,18,65,NA,16,NA,52,9,4,NA,97,4
1.00002E+14,1,1,1,0,1,1,248,13,12,28,20,26,3,41,738,NA,5,NA,100,6,3,NA,NA,2
1603134587,0,0,1,1,1,0,279,11,NA,NA,42,2,1,21,62,NA,21,53,100,12,3,NA,NA,1
1003603039,0,1,1,0,0,0,128,13,1,NA,1,3,5,5,43,NA,3,NA,100,3,1,NA,NA,NA
1049405545,0,1,1,0,1,0,460,21,1,2,2,NA,1,23,126,18,14,1,100,9,3,NA,7,30
1.00001E+14,0,1,1,0,0,1,379,7,6,29,98,46,12,41,1419,119,24,2,100,14,3,NA,NA,1
1.00001E+14,1,0,1,1,1,0,168,12,NA,NA,NA,NA,1,NA,28,NA,9,NA,5,9,5,NA,14,NA
1782575517,0,1,1,1,1,0,390,13,4,NA,2,NA,NA,9,39,21,39,NA,10,14,5,NA,2,NA
1037998581,1,1,0,1,1,0,518,12,NA,16,9,5,4,2,221,NA,44,2,100,3,3,NA,3,5
1190213328,0,0,1,0,1,0,173,10,NA,1,1,NA,NA,8,38,NA,10,NA,3,1,0,NA,35,NA
1E+14,1,1,1,1,1,0,378,11,3,2,28,5,1,NA,229,12,25,NA,7,8,12,NA,NA,18
1E+14,1,0,1,0,1,0,162,9,NA,1,4,1,1,NA,57,21,14,NA,13,4,2,NA,12,1
1.00002E+14,1,0,1,1,1,0,236,12,NA,13,30,1,4,8,95,NA,20,NA,16,3,3,NA,NA,2
1559402426,0,1,1,1,1,0,301,25,NA,NA,1,2,NA,3,34,13,9,NA,89,9,9,NA,3,NA
1E+14,1,1,1,1,1,1,1197,51,1,20,217,19,18,159,1478,378,109,538,100,3,1,NA,NA,139
1E+14,0,1,1,0,1,0,402,18,4,8,16,4,7,11,254,52,33,NA,100,10,5,NA,50,23
1.00003E+14,0,0,0,1,1,0,86,5,NA,NA,NA,NA,NA,NA,2,NA,13,13,NA,NA,NA,NA,11,NA
1E+14,0,1,0,0,0,0,330,9,NA,5,3,NA,2,15,71,NA,49,NA,21,5,6,NA,0,NA
1E+14,1,1,1,1,1,0,576,19,4,1,13,NA,NA,45,126,NA,38,NA,NA,NA,NA,NA,0,3
1E+14,1,1,1,0,1,0,537,8,2,NA,11,2,NA,12,110,67,37,NA,23,5,6,NA,5,12
1.00001E+14,0,0,0,1,0,0,740,4,1,2,1,NA,1,1,42,NA,64,NA,100,22,6,NA,4,NA
1E+14,1,0,1,1,1,0,597,27,NA,NA,4,NA,1,17,35,48,46,5,100,15,2,NA,29,NA
1E+14,1,1,0,1,1,0,564,14,1,27,68,27,6,108,199,147,31,7,100,15,7,NA,22,NA
1805641419,1,1,1,1,1,0,642,27,6,13,9,6,7,NA,82,62,32,2,100,13,7,NA,NA,3
1.00003E+14,1,0,1,1,1,1,196,13,NA,NA,2,NA,NA,14,13,4,12,3,100,8,2,NA,1,NA
1.00002E+14,0,0,1,1,0,0,268,14,NA,1,NA,NA,NA,2,39,NA,20,NA,100,6,7,NA,1,1
1.00001E+14,1,1,0,1,0,0,408,7,NA,NA,3,NA,NA,16,111,NA,41,NA,14,7,3,NA,29,1
1.00004E+14,1,1,1,1,1,1,129,7,NA,1,6,1,3,2,27,NA,17,NA,35,6,6,NA,59,NA
1.00003E+14,0,0,0,1,1,0,86,5,NA,NA,NA,NA,NA,NA,2,NA,13,13,NA,NA,NA,NA,11,NA
1E+14,1,1,0,0,0,0,565,3,1,10,79,18,1,NA,346,NA,47,NA,100,7,6,NA,60,6
1E+14,1,1,0,1,1,0,412,17,NA,NA,2,3,1,11,45,51,43,10,100,20,9,NA,NA,NA
